ensembl_gene_id	GTEx_gene_id_version	Description	Adipose...Subcutaneous	Adipose...Visceral..Omentum.	Adrenal.Gland	Artery...Aorta	Artery...Coronary	Artery...Tibial	Bladder	Brain...Amygdala	Brain...Anterior.cingulate.cortex..BA24.	Brain...Caudate..basal.ganglia.	Brain...Cerebellar.Hemisphere	Brain...Cerebellum	Brain...Cortex	Brain...Frontal.Cortex..BA9.	Brain...Hippocampus	Brain...Hypothalamus	Brain...Nucleus.accumbens..basal.ganglia.	Brain...Putamen..basal.ganglia.	Brain...Spinal.cord..cervical.c.1.	Brain...Substantia.nigra	Breast...Mammary.Tissue	Cells...EBV.transformed.lymphocytes	Cells...Transformed.fibroblasts	Cervix...Ectocervix	Cervix...Endocervix	Colon...Sigmoid	Colon...Transverse	Esophagus...Gastroesophageal.Junction	Esophagus...Mucosa	Esophagus...Muscularis	Fallopian.Tube	Heart...Atrial.Appendage	Heart...Left.Ventricle	Kidney...Cortex	Liver	Lung	Minor.Salivary.Gland	Muscle...Skeletal	Nerve...Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin...Not.Sun.Exposed..Suprapubic.	Skin...Sun.Exposed..Lower.leg.	Small.Intestine...Terminal.Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole.Blood	tissue_means	sum
ENSG00000198888	ENSG00000198888.2	MT-ND1	27680	23240	26655	8624	11910	10340	14230	38190	36440	36395	20255	29730	43230	31010	36540	32180	32890	38075	26370	38735	23505	7353	7105	9832	8407	20170	23050	18555	9545	19990	13390	33180	38830	30530	20120	13540	13490	31110	14120	8118	9069	10730	16625	18470	19390	21840	13145	24810	22760	13315	10190	8360	2743	41425.5396226415	2298733.87924528
ENSG00000210100	ENSG00000210100.1	MT-TI	1.5225	3.033	5.103	0.594	1.361	0.7224	1.521	30.485	34.16	57.4	14.215	19.53	40.88	32.26	35.14	20.61	40.12	57.285	24.78	54.085	1.4865	1.1335	0.7663	0.3958	1.827	2.2	2.955	1.716	0.6523	2.133	1.553	2.437	3.585	2.28	2.277	2.821	0.735	4.6085	2.575	0.5767	1.2915	0.7051	1.366	0.7734	0.7187	3.418	3.2885	2.727	1.072	0.94295	0.7705	0.594	2.457	19.7714155060034	1097.1304919211
ENSG00000210107	ENSG00000210107.1	MT-TQ	0	0.5834	0.6307	0	0	0	0	1.96	1.882	3.4155	0.99605	1.1	2.538	2.272	1.999	1.64	1.999	3.569	1.508	2.7885	0	0	0.4138	0	0	0.5317	0.49675	0.3209	0	0.4379	0	0.6666	1.94	0.8987	0.4688	0	0	0.776	0	0	0	0	0	0	0	0.5003	0	0.55805	0	0	0	0	0	1.36678909090909	75.8441390909091
ENSG00000210112	ENSG00000210112.1	MT-TM	0.9878	1.604	2.0935	0	0.798	0.5622	0.8238	13.855	14.24	17.135	4.547	6.213	18.655	16.37	14.97	13.64	12.24	16.06	12.05	17.77	0.9759	0.646	0.8396	0.34825	0.8769	1.736	1.573	1.479	0.7762	1.3975	0.8394	2.967	7.502	2.959	0.852	1.936	0.6751	3.311	2.112	0	0.524	0.7803	1.355	0.6614	0.6458	1.266	1.059	1.414	0.7574	0.78415	0.5734	0.6005	0.6521	8.50251581475129	471.810900720412
ENSG00000198763	ENSG00000198763.3	MT-ND2	25805	27460	25020	9538	13550	10140	15900	37670	35150	48240	22955	26720	35565	31650	38220	36320	39450	48450	36880	41990	25015	6168	5964	12180	13810	24750	22795	22480	9744	23925	16220	31200	34690	31870	22910	13390	14420	22310	16720	12160	9519	16000	21845	17200	16090	22520	11680	24810	18220	16270	12260	11610	2173	44074.0404802744	2445701.15368782
ENSG00000210117	ENSG00000210117.1	MT-TW	0	0	0.34705	0	0	0	0	1.8065	1.911	3.0235	1.1175	1.008	2.0755	1.753	2.61	1.821	2.331	3.311	1.364	3.519	0	0	0	0	0	0	0	0	0	0	0	0.3313	0.3696	0.2748	0	0	0	0.4778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09117234991424	60.5499619725557
ENSG00000210127	ENSG00000210127.1	MT-TA	0.71985	0.7041	1.3215	0.7195	0.8595	1.107	0.8119	2.895	2.725	2.936	1.04	0.9844	2.6755	2.668	2.964	2.883	2.446	2.879	2.779	3.5925	0.72125	1.3215	0.7329	0	0.8642	0.7204	1.2485	1.203	0.6082	1.156	1.655	1.617	1.621	0.5623	0.5042	0.8511	0.5526	1.339	1.191	0	0.41275	0	0.56035	1.335	1.472	1.239	0.7862	1.5045	0.4873	0.51205	0.491	0	0	2.48159361921098	137.705468147513
ENSG00000210135	ENSG00000210135.1	MT-TN	1.39	1.5	2.845	1.636	2.184	2.544	2.75	3.63	2.501	1.948	0.98825	0.9659	2.18	1.816	3.149	2.703	1.932	2.4035	2.119	2.588	1.539	2.186	1.621	0.3244	0.8261	1.155	2.9605	2.4065	1.112	2.297	2.467	2.96	2.951	0.8899	0.9054	1.761	1.54	2.864	1.4745	0.5675	0.55585	0.4526	0.70035	3.35	3.298	2.983	2.112	3.51	0.7674	0.7947	0.703	0.7437	0.3993	3.66608500857633	203.433772744425
ENSG00000210140	ENSG00000210140.1	MT-TC	2.713	2.28	6.9645	2.738	3.741	4.182	5.043	4.897	4.294	3.22	1.574	1.46	3.7095	3.138	4.279	4.15	3.206	3.2435	2.292	4.181	2.816	5.6275	4.129	0	2.174	2.176	5.9965	4.349	2.442	5.031	4.922	6.809	5.547	1.351	2.04	3.354	2.421	5.7225	2.4065	0.8904	1.4025	0.5017	0.981	5.575	5.891	6.572	3.3065	6.394	1.787	1.1945	1.218	0.9261	0.5407	6.58744054888508	365.541955643225
ENSG00000210144	ENSG00000210144.1	MT-TY	6.646	6.504	14.825	5.883	9.737	9.622	13.55	13.81	9.92	6.423	3.4305	3.873	8.3835	6.572	8.989	9.773	7.249	7.26	5.572	8.9975	6.072	13.19	10.15	5.288	6.494	5.621	15.47	11.73	5.97	12.47	18.4	15.94	11.4	2.226	3.545	7.397	6.143	11.735	5.75	1.464	4.1035	0.8527	2.358	13.06	13.32	15.99	8.599	16.545	3.432	2.613	4.303	2.339	1.075	16.0078859691252	888.289450120069
ENSG00000198804	ENSG00000198804.2	MT-CO1	22095	22830	60775	13300	18840	20210	31250	68515	64970	49460	24805	28940	68870	54600	65880	53020	42570	55230	29940	53575	23960	19775	18800	16885	17830	26890	49030	32745	23830	32380	22310	66460	82390	35170	39470	21090	25390	49600	16020	14340	11940	8216	17280	32090	29750	45570	25715	40245	20780	23865	19160	16680	4007	65924.0150943396	3658172.43018868
ENSG00000210151	ENSG00000210151.2	MT-TS1	100.9	87.81	196.35	55.03	81.71	95.65	153.2	380.55	328.5	221.8	106.3	111.5	275.4	266.4	325.7	250.1	224.9	233.05	146.5	269.2	107.05	65.65	61.47	80.68	58.38	80.78	186.8	128.3	87.48	130.7	107	235.4	264.5	194.1	181	82.53	89.25	164.75	73.52	38.95	48.785	29.72	78.96	160.5	144.1	158	135.7	165.4	73.3	84.475	59.4	59.48	20.78	279.630710120069	15516.915238422
ENSG00000210154	ENSG00000210154.1	MT-TD	0	0.4325	0.76175	0	0	0	0	5.481	5.871	7.669	2.584	3.094	5.523	5.363	5.219	3.828	5.408	6.879	3.162	7.6745	0	0	0	0	0	0	0.49515	0	0	0	0	0.4173	1.071	1.196	0	0	0	0.50205	0	0	0	0	0	0	0	0	0	0.3896	0	0	0	0	0	2.70540370497427	150.124855591767
