hgnc_symbol	ensembl_gene_id_version	transcript_count	gene_biotype	description
NA	ENSG00000198744.5	1	pseudogene	NA
MIR4461	ENSG00000198868.3	1	pseudogene	microRNA 4461 [Source:HGNC Symbol;Acc:41656]
MTND4P13	ENSG00000216713.1	1	pseudogene	MT-ND4 pseudogene 13 [Source:HGNC Symbol;Acc:42222]
NA	ENSG00000216853.1	1	pseudogene	NA
NA	ENSG00000217044.1	1	pseudogene	NA
NA	ENSG00000217083.1	1	pseudogene	NA
NA	ENSG00000217160.2	1	pseudogene	NA
MTCYBP2	ENSG00000217179.1	1	pseudogene	MT-CYB pseudogene 2 [Source:HGNC Symbol;Acc:38807]
NA	ENSG00000218776.4	1	pseudogene	NA
NA	ENSG00000219087.2	1	pseudogene	NA
MTCYBP4	ENSG00000220113.2	1	pseudogene	MT-CYB pseudogene 4 [Source:HGNC Symbol;Acc:41923]
NA	ENSG00000220139.1	1	pseudogene	NA
NA	ENSG00000220340.1	1	pseudogene	NA
NA	ENSG00000220514.1	1	pseudogene	NA
NA	ENSG00000220733.1	1	pseudogene	NA
MTND6P21	ENSG00000223431.1	1	pseudogene	MT-ND6 pseudogene 21 [Source:HGNC Symbol;Acc:39639]
MTND5P28	ENSG00000223549.1	1	pseudogene	MT-ND5 pseudogene 28 [Source:HGNC Symbol;Acc:42290]
NA	ENSG00000223619.1	1	pseudogene	NA
MTND1P27	ENSG00000223921.1	1	pseudogene	MT-ND1 pseudogene 27 [Source:HGNC Symbol;Acc:42076]
MTND6P1	ENSG00000223955.1	1	pseudogene	MT-ND6 pseudogene 1 [Source:HGNC Symbol;Acc:38730]
MTND4P6	ENSG00000224042.2	1	pseudogene	MT-ND4 pseudogene 6 [Source:HGNC Symbol;Acc:42193]
NA	ENSG00000224083.1	1	pseudogene	NA
NA	ENSG00000224254.2	1	pseudogene	NA
NA	ENSG00000224288.2	1	pseudogene	NA
NA	ENSG00000224299.1	1	pseudogene	NA
NA	ENSG00000224338.2	1	pseudogene	NA
MTND2P5	ENSG00000224354.2	1	pseudogene	MT-ND2 pseudogene 5 [Source:HGNC Symbol;Acc:42106]
NA	ENSG00000224471.2	1	pseudogene	NA
NA	ENSG00000224590.1	1	pseudogene	NA
MTND6P7	ENSG00000224695.1	1	pseudogene	MT-ND6 pseudogene 7 [Source:HGNC Symbol;Acc:39470]
NA	ENSG00000224747.1	1	pseudogene	NA
MTND5P24	ENSG00000224852.1	1	pseudogene	MT-ND5 pseudogene 24 [Source:HGNC Symbol;Acc:42286]
NA	ENSG00000224880.1	1	pseudogene	NA
