id	hgnc_symbol	chromosome_name	start_position	end_position	strand	ensembl_gene_id	transcript_count	gene_biotype
NUMT_01.001	MT-ND1	MT	3307	4262	1	ENSG00000198888	1	protein_coding
NUMT_01.001	MT-ND1	MT	3307	4262	1	ENSG00000198888	1	protein_coding
NUMT_01.001	MT-TI	MT	4263	4331	1	ENSG00000210100	1	Mt_tRNA
NUMT_01.001	MT-TI	MT	4263	4331	1	ENSG00000210100	1	Mt_tRNA
NUMT_01.001	MT-TQ	MT	4329	4400	-1	ENSG00000210107	1	Mt_tRNA
NUMT_01.001	MT-TQ	MT	4329	4400	-1	ENSG00000210107	1	Mt_tRNA
NUMT_01.001	MT-TM	MT	4402	4469	1	ENSG00000210112	1	Mt_tRNA
NUMT_01.001	MT-TM	MT	4402	4469	1	ENSG00000210112	1	Mt_tRNA
NUMT_01.001	MT-ND2	MT	4470	5511	1	ENSG00000198763	1	protein_coding
NUMT_01.001	MT-ND2	MT	4470	5511	1	ENSG00000198763	1	protein_coding
NUMT_01.001	MT-TW	MT	5512	5579	1	ENSG00000210117	1	Mt_tRNA
NUMT_01.001	MT-TW	MT	5512	5579	1	ENSG00000210117	1	Mt_tRNA
NUMT_01.001	MT-TA	MT	5587	5655	-1	ENSG00000210127	1	Mt_tRNA
NUMT_01.001	MT-TA	MT	5587	5655	-1	ENSG00000210127	1	Mt_tRNA
NUMT_01.001	MT-TN	MT	5657	5729	-1	ENSG00000210135	1	Mt_tRNA
NUMT_01.001	MT-TN	MT	5657	5729	-1	ENSG00000210135	1	Mt_tRNA
NUMT_01.001	MT-TC	MT	5761	5826	-1	ENSG00000210140	1	Mt_tRNA
NUMT_01.001	MT-TC	MT	5761	5826	-1	ENSG00000210140	1	Mt_tRNA
NUMT_01.001	MT-TY	MT	5826	5891	-1	ENSG00000210144	1	Mt_tRNA
NUMT_01.001	MT-TY	MT	5826	5891	-1	ENSG00000210144	1	Mt_tRNA
NUMT_01.001	MT-CO1	MT	5904	7445	1	ENSG00000198804	1	protein_coding
NUMT_01.001	MT-CO1	MT	5904	7445	1	ENSG00000198804	1	protein_coding
NUMT_01.001	MT-TS1	MT	7446	7514	-1	ENSG00000210151	1	Mt_tRNA
NUMT_01.001	MT-TS1	MT	7446	7514	-1	ENSG00000210151	1	Mt_tRNA
NUMT_01.001	MT-TD	MT	7518	7585	1	ENSG00000210154	1	Mt_tRNA
NUMT_01.001	MT-TD	MT	7518	7585	1	ENSG00000210154	1	Mt_tRNA
NUMT_01.001	MT-CO2	MT	7586	8269	1	ENSG00000198712	1	protein_coding
NUMT_01.001	MT-CO2	MT	7586	8269	1	ENSG00000198712	1	protein_coding
NUMT_01.001	MT-TK	MT	8295	8364	1	ENSG00000210156	1	Mt_tRNA
NUMT_01.001	MT-TK	MT	8295	8364	1	ENSG00000210156	1	Mt_tRNA
NUMT_01.001	MT-ATP8	MT	8366	8572	1	ENSG00000228253	1	protein_coding
NUMT_01.001	MT-ATP8	MT	8366	8572	1	ENSG00000228253	1	protein_coding
NUMT_01.001	MT-ATP6	MT	8527	9207	1	ENSG00000198899	1	protein_coding
NUMT_01.001	MT-ATP6	MT	8527	9207	1	ENSG00000198899	1	protein_coding
NUMT_01.001	MT-CO3	MT	9207	9990	1	ENSG00000198938	1	protein_coding
NUMT_01.001	MT-CO3	MT	9207	9990	1	ENSG00000198938	1	protein_coding
NUMT_01.002	MT-CO3	MT	9207	9990	1	ENSG00000198938	1	protein_coding
NUMT_01.002	MT-CO3	MT	9207	9990	1	ENSG00000198938	1	protein_coding
NUMT_01.003	MT-RNR2	MT	1671	3229	1	ENSG00000210082	1	Mt_rRNA
NUMT_01.003	MT-RNR2	MT	1671	3229	1	ENSG00000210082	1	Mt_rRNA
NUMT_01.004	MT-CO2	MT	7586	8269	1	ENSG00000198712	1	protein_coding
NUMT_01.004	MT-CO2	MT	7586	8269	1	ENSG00000198712	1	protein_coding
NUMT_01.005	MT-RNR1	MT	648	1601	1	ENSG00000211459	1	Mt_rRNA
NUMT_01.005	MT-RNR1	MT	648	1601	1	ENSG00000211459	1	Mt_rRNA
NUMT_01.006	MT-TL2	MT	12266	12336	1	ENSG00000210191	1	Mt_tRNA
NUMT_01.006	MT-TL2	MT	12266	12336	1	ENSG00000210191	1	Mt_tRNA
NUMT_01.006	MT-ND5	MT	12337	14148	1	ENSG00000198786	1	protein_coding
NUMT_01.006	MT-ND5	MT	12337	14148	1	ENSG00000198786	1	protein_coding
NUMT_01.007	MT-CYB	MT	14747	15887	1	ENSG00000198727	1	protein_coding
NUMT_01.007	MT-CYB	MT	14747	15887	1	ENSG00000198727	1	protein_coding
NUMT_01.008	MT-ND1	MT	3307	4262	1	ENSG00000198888	1	protein_coding
NUMT_01.008	MT-ND1	MT	3307	4262	1	ENSG00000198888	1	protein_coding
NUMT_01.009	MT-ATP6	MT	8527	9207	1	ENSG00000198899	1	protein_coding
NUMT_01.009	MT-ATP6	MT	8527	9207	1	ENSG00000198899	1	protein_coding
NUMT_01.010	MT-ND2	MT	4470	5511	1	ENSG00000198763	1	protein_coding
NUMT_01.010	MT-ND2	MT	4470	5511	1	ENSG00000198763	1	protein_coding
NUMT_01.011	MT-CO1	MT	5904	7445	1	ENSG00000198804	1	protein_coding
NUMT_01.011	MT-CO1	MT	5904	7445	1	ENSG00000198804	1	protein_coding
NUMT_01.011	MT-TS1	MT	7446	7514	-1	ENSG00000210151	1	Mt_tRNA
NUMT_01.011	MT-TS1	MT	7446	7514	-1	ENSG00000210151	1	Mt_tRNA
NUMT_01.011	MT-TD	MT	7518	7585	1	ENSG00000210154	1	Mt_tRNA
NUMT_01.011	MT-TD	MT	7518	7585	1	ENSG00000210154	1	Mt_tRNA
NUMT_01.011	MT-CO2	MT	7586	8269	1	ENSG00000198712	1	protein_coding
NUMT_01.011	MT-CO2	MT	7586	8269	1	ENSG00000198712	1	protein_coding
