id	localization	chr	start_n	end_n	mt	start_mt	end_mt	hgnc_symbol	Description	gene_biotype	name_1006	ensembl_gene_id_version	transcript_count	tissue_means	sum	GTEx_gene_id_version	Adipose...Subcutaneous	Adipose...Visceral..Omentum.	Adrenal.Gland	Artery...Aorta	Artery...Coronary	Artery...Tibial	Bladder	Brain...Amygdala	Brain...Anterior.cingulate.cortex..BA24.	Brain...Caudate..basal.ganglia.	Brain...Cerebellar.Hemisphere	Brain...Cerebellum	Brain...Cortex	Brain...Frontal.Cortex..BA9.	Brain...Hippocampus	Brain...Hypothalamus	Brain...Nucleus.accumbens..basal.ganglia.	Brain...Putamen..basal.ganglia.	Brain...Spinal.cord..cervical.c.1.	Brain...Substantia.nigra	Breast...Mammary.Tissue	Cells...EBV.transformed.lymphocytes	Cells...Transformed.fibroblasts	Cervix...Ectocervix	Cervix...Endocervix	Colon...Sigmoid	Colon...Transverse	Esophagus...Gastroesophageal.Junction	Esophagus...Mucosa	Esophagus...Muscularis	Fallopian.Tube	Heart...Atrial.Appendage	Heart...Left.Ventricle	Kidney...Cortex	Liver	Lung	Minor.Salivary.Gland	Muscle...Skeletal	Nerve...Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin...Not.Sun.Exposed..Suprapubic.	Skin...Sun.Exposed..Lower.leg.	Small.Intestine...Terminal.Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole.Blood	description	chromosome_name	start_position	end_position	strand
NUMT_01.001	intronic	1	564461	570304	mt	3911	9755	MTND1P23	MTND1P23	pseudogene	NA	ENSG00000225972.1	1	11.81	637.74	ENSG00000225972.1	14.9	11.65	14.9	6.127	7.57	8.285	7.068	19.735	17.41	18.905	12.685	16.01	19.405	17.34	17.79	15.52	16.96	19.175	15.74	18.965	12.81	4.9045	6.306	5.8515	8.977	10.64	11.685	10.059	5.892	9.8765	6.905	16.28	23.28	17.89	10.46	9.282	8.829	16.825	10.0085	5.858	5.5455	7.311	9.68	10.33	11.57	12.79	7.647	12.655	13.64	8.7245	6.845	6.069	4.364	MT-ND1 pseudogene 23 [Source:HGNC Symbol;Acc:42092]	1	564442	564813	1
NUMT_01.001	intronic	1	564461	570304	mt	3911	9755	MTND2P28	MTND2P28	pseudogene	NA	ENSG00000225630.1	1	743.859433962264	40168.4094339623	ENSG00000225630.1	941.2	989	907	324.7	492.5	354.5	483.1	1152.5	1152	1555.5	609.75	830.6	1226.5	938.6	1259	1132	1258	1584.5	1065	1369	885.85	214.15	201.9	343.55	406.1	820	796.65	783.55	330.6	781.45	507	1123	1274	1076	754.3	444.7	512.1	752.1	582.75	382.9	340.55	514	805.2	597.1	555.3	772.2	366.55	884.2	566.7	557.8	433.8	377.2	56.35	MT-ND2 pseudogene 28 [Source:HGNC Symbol;Acc:42129]	1	565020	566063	1
NUMT_01.001	intronic	1	564461	570304	mt	3911	9755	NA	hsa-mir-6723	pseudogene	NA	ENSG00000237973.1	1	70.0296226415094	3781.59962264151	ENSG00000237973.1	48.22	47.65	113.35	30.28	39.04	43.87	54.78	133.6	129.6	117.35	51.345	57.81	139.65	113.1	136.3	117.1	92.65	119.2	71.95	109.1	51.145	38.55	35.98	31.595	55.84	51.19	94.69	64.255	46.06	63.4	46.84	131.3	180.6	86.12	82.2	46.4	48.9	104.05	36.645	31.14	25.095	20.53	39.98	66.93	65.01	89.01	49.295	82.76	41.27	52.975	38.6	33.1	14.17	hsa-mir-6723 [Source:miRBase;Acc:MI0022558]	1	566454	567996	1
NUMT_01.001	intronic	1	564461	570304	mt	3911	9755	NA	RP5-857K21.7	pseudogene	NA	ENSG00000229344.1	1	17.588641509434	949.786641509434	ENSG00000229344.1	14.9	14.15	20.115	8.122	10.61	10.4	13.04	29.125	29.6	31.985	18.43	19.61	27.69	28.83	31.15	30.63	28.33	35.845	25.97	36.065	14.11	11.74	11.15	7.535	7.978	17.63	21.585	16.555	11.35	16.915	8.796	19.48	31.66	25.74	19.13	12.76	12.65	19.17	11.65	7.806	6.562	11.85	15.595	13.39	14.31	20.03	11.25	17.605	12.63	14.455	9.581	9.288	5.665	NA	1	568137	568818	1
NUMT_01.001	intronic	1	564461	570304	mt	3911	9755	MTATP8P1	MTATP8P1	pseudogene	NA	ENSG00000240409.1	1	18.0981509433962	977.300150943396	ENSG00000240409.1	20.14	18.35	22.235	9.655	12.64	11.93	11.29	29.345	26.89	28.835	15	21.56	27.285	22.59	28.54	27.31	26.34	30.6	20.05	29.06	17.995	9.4795	9.593	6.122	12.43	17.71	19.725	16.95	10.32	16.11	9.232	31.32	39.95	23.26	23.38	13.22	12.41	24.81	14.015	9.465	7.5835	12.56	20.45	15.73	15.96	23.55	10.225	21.275	13.79	16.035	10.12	10.74	4.042	mitochondrially encoded ATP synthase 8 pseudogene 1 [Source:HGNC Symbol;Acc:44571]	1	568915	569121	1
NUMT_01.001	intronic	1	564461	570304	mt	3911	9755	MTATP6P1	MTATP6P1	pseudogene	NA	ENSG00000248527.1	1	3854.06603773585	208119.566037736	ENSG00000248527.1	3108	3881	5478.5	1767	2189	1917	2810	6332.5	6276	7405	4014.5	4581	6114.5	5363	6642	6173	6691	7739	4649	6209	3424.5	1650.5	1379	1818.5	2113	3499	4288.5	3503	1995	3619.5	2240	6837	8294	6276	5360	2172	2473	4844.5	2221	2238	1411	2510	4062.5	2779	2536	4085	2440	4273.5	2798	3056.5	2252	1989	487	mitochondrially encoded ATP synthase 6 pseudogene 1 [Source:HGNC Symbol;Acc:44575]	1	569076	569756	1
NUMT_01.001	intronic	1	564461	570304	mt	3911	9755	NA	RP5-857K21.11	pseudogene	NA	ENSG00000198744.5	1	24.0405471698113	1298.18954716981	ENSG00000198744.5	24	20.86	30.395	11.91	15.44	17.23	13.36	47.77	40.95	35.47	23.57	24.96	34.25	35.24	48.45	41.13	41.23	40.96	26.24	37.205	23.2	12.795	11.07	9.4535	10.27	20.04	25.815	21.49	14.15	20.54	12.91	37.83	57.99	40.06	23.46	15.31	18.2	28.555	18.005	11.68	8.6045	16.7	20.22	22.15	23.85	25.23	13.44	22.76	22.25	23.325	11.95	13.46	6.766	NA	1	569756	570302	1
NUMT_01.002	intergenic	1	5614806	5614937	mt	9453	9583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.003	intergenic	1	5910318	5910528	mt	2466	2675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.004	intergenic	1	8969802	8969967	mt	8040	8205	NA	RP3-477M7.6	pseudogene	NA	ENSG00000232663.2	1	0	0	ENSG00000232663.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	8969801	8969963	1
NUMT_01.005	intronic	1	9634687	9634887	mt	907	1117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
