id	chromosome_name	start_position	end_position	strand	hgnc_symbol	ensembl_gene_id_version	ensembl_gene_id	transcript_count
NUMT_01.001	1	536816	659930	-1	NA	ENSG00000230021.3	ENSG00000230021	5
NUMT_01.001	1	564442	564813	1	MTND1P23	ENSG00000225972.1	ENSG00000225972	1
NUMT_01.001	1	565020	566063	1	MTND2P28	ENSG00000225630.1	ENSG00000225630	1
NUMT_01.001	1	566454	567996	1	NA	ENSG00000237973.1	ENSG00000237973	1
NUMT_01.001	1	568137	568818	1	NA	ENSG00000229344.1	ENSG00000229344	1
NUMT_01.001	1	568915	569121	1	MTATP8P1	ENSG00000240409.1	ENSG00000240409	1
NUMT_01.001	1	569076	569756	1	MTATP6P1	ENSG00000248527.1	ENSG00000248527	1
NUMT_01.001	1	569756	570302	1	NA	ENSG00000198744.5	ENSG00000198744	1
NUMT_01.002	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.003	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.004	1	8969801	8969963	1	NA	ENSG00000232663.2	ENSG00000232663	1
NUMT_01.005	1	9599541	9645237	1	SLC25A33	ENSG00000171612.6	ENSG00000171612	1
NUMT_01.006	1	11166592	11322564	-1	MTOR	ENSG00000198793.8	ENSG00000198793	7
NUMT_01.007	1	11485314	11485878	-1	NA	ENSG00000224338.2	ENSG00000224338	1
NUMT_01.008	1	18921908	18922130	1	NA	ENSG00000225478.2	ENSG00000225478	1
NUMT_01.009	1	38076951	38100595	-1	RSPO1	ENSG00000169218.9	ENSG00000169218	6
NUMT_01.010	1	48998527	50489585	-1	AGBL4	ENSG00000186094.12	ENSG00000186094	6
NUMT_01.010	1	50482764	50483175	1	MTND2P29	ENSG00000233595.2	ENSG00000233595	1
NUMT_01.011	1	55838383	55838989	-1	NA	ENSG00000232198.2	ENSG00000232198	1
NUMT_01.012	1	77333126	77531396	1	ST6GALNAC5	ENSG00000117069.10	ENSG00000117069	5
NUMT_01.013	1	81546475	81546856	1	MTND2P30	ENSG00000227937.1	ENSG00000227937	1
NUMT_01.014	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.015	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.016	1	94389942	94390272	-1	NA	ENSG00000235794.1	ENSG00000235794	1
NUMT_01.016	1	94390299	94390941	-1	NA	ENSG00000232752.1	ENSG00000232752	1
NUMT_01.017	1	94390962	94391628	-1	NA	ENSG00000229842.2	ENSG00000229842	1
NUMT_01.017	1	94391588	94391744	-1	NA	ENSG00000250890.1	ENSG00000250890	1
NUMT_01.018	1	94392171	94393125	-1	NA	ENSG00000236689.1	ENSG00000236689	1
NUMT_01.019	1	94392171	94393125	-1	NA	ENSG00000236689.1	ENSG00000236689	1
NUMT_01.019	1	94393270	94393858	-1	NA	ENSG00000226960.1	ENSG00000226960	1
NUMT_01.020	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.021	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.022	1	104159999	104168402	1	AMY2A	ENSG00000243480.3	ENSG00000243480	3
NUMT_01.023	1	107345377	107346049	-1	NA	ENSG00000233449.1	ENSG00000233449	1
NUMT_01.023	1	107347096	107348654	-1	NA	ENSG00000232551.2	ENSG00000232551	1
NUMT_01.024	1	113933371	114228545	1	MAGI3	ENSG00000081026.14	ENSG00000081026	6
NUMT_01.024	1	114119379	114119521	-1	MTND5P20	ENSG00000238256.1	ENSG00000238256	1
NUMT_01.025	1	142790233	142790520	-1	NA	ENSG00000230446.1	ENSG00000230446	1
NUMT_01.025	1	142790583	142791175	-1	NA	ENSG00000236055.1	ENSG00000236055	1
NUMT_01.026	1	142791488	142792556	1	NA	ENSG00000230255.1	ENSG00000230255	1
NUMT_01.027	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.028	NA	NA	NA	NA	NA	NA	NA	NA
