n_hgnc_symbol	mt_hgnc_symbol	n_start_numt	n_end_numt	mt_start_numt	mt_end_numt	n_leng	mt_leng	ov	percent_n	percent_mt
MTND1P23	MT-ND1	100100000	100100352	100100000	100100351	352	351	351	0.997159090909091	1
MTND1P23	MT-TI	100100000	100100352	100100352	100100420	352	68	0	0	0
MTND2P28	MT-ND2	100100559	100101602	100100559	100101600	1043	1041	1041	0.998082454458293	1
MTND2P28	MT-TW	100100559	100101602	100101601	100101668	1043	67	1	0.000958772770853308	0.0149253731343284
NA	MT-CO1	100101993	100103535	100101993	100103534	1542	1541	1541	0.99935149156939	1
NA	MT-TS1	100101993	100103535	100103535	100103603	1542	68	0	0	0
NA	MT-CO2	100103676	100104357	100103675	100104358	681	683	681	1	0.997071742313324
MTATP8P1	MT-ATP8	100104454	100104660	100104455	100104661	206	206	205	0.995145631067961	0.995145631067961
MTATP8P1	MT-ATP6	100104454	100104660	100104616	100105296	206	680	44	0.213592233009709	0.0647058823529412
MTATP6P1	MT-ATP8	100104615	100105295	100104455	100104661	680	206	46	0.0676470588235294	0.223300970873786
MTATP6P1	MT-ATP6	100104615	100105295	100104616	100105296	680	680	679	0.998529411764706	0.998529411764706
NA	MT-ATP6	100105295	100105841	100104616	100105296	546	680	1	0.00183150183150183	0.00147058823529412
NA	MT-CO3	100105295	100105841	100105296	100106079	546	783	545	0.998168498168498	0.696040868454662
NA	MT-CO2	100400000	100400161	100400000	100400229	161	229	161	1	0.703056768558952
NA	MT-CYB	100700000	100700559	100700000	100700808	559	808	559	1	0.691831683168317
NA	MT-ND1	100800002	100800224	100800000	100800361	222	361	222	1	0.614958448753463
MTND2P29	MT-ND2	1.01e+08	101000407	1.01e+08	101000899	407	899	407	1	0.452725250278087
NA	MT-TS1	101100160	101100766	101100144	101100212	606	68	52	0.0858085808580858	0.764705882352941
NA	MT-TD	101100160	101100766	101100216	101100283	606	67	67	0.110561056105611	1
NA	MT-CO2	101100160	101100766	101100284	101100967	606	683	482	0.795379537953795	0.705710102489019
MTND2P30	MT-ND2	101300000	101300370	101300000	101300541	370	541	370	1	0.683918669131238
NA	MT-ND3	101600110	101600440	101600144	101600489	330	345	296	0.896969696969697	0.857971014492754
NA	MT-TG	101600110	101600440	101600076	101600143	330	67	33	0.1	0.492537313432836
NA	MT-ND3	101600467	101601109	101600144	101600489	642	345	22	0.0342679127725857	0.063768115942029
NA	MT-TR	101600467	101601109	101600490	101600554	642	64	64	0.0996884735202492	1
NA	MT-ND4L	101600467	101601109	101600555	101600851	642	296	296	0.461059190031153	1
NA	MT-ATP8	101700016	101700682	101700000	101700048	666	48	32	0.048048048048048	0.666666666666667
NA	MT-ATP6	101700016	101700682	101700003	101700683	666	680	666	1	0.979411764705882
NA	MT-ATP6	101700642	101700798	101700003	101700683	156	680	41	0.262820512820513	0.0602941176470588
