id	chromosome_name	start_position	end_position	strand	hgnc_symbol	ensembl_gene_id_version	ensembl_gene_id	transcript_count
NUMT_01.001	1	536816	659930	-1	NA	ENSG00000230021.3	ENSG00000230021	5
NUMT_01.002	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.003	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.004	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.005	1	9599541	9645237	1	SLC25A33	ENSG00000171612.6	ENSG00000171612	1
NUMT_01.006	1	11166592	11322564	-1	MTOR	ENSG00000198793.8	ENSG00000198793	7
NUMT_01.006	1	11203955	11209594	1	MTOR-AS1	ENSG00000225602.1	ENSG00000225602	2
NUMT_01.007	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.008	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.009	1	38076951	38100595	-1	RSPO1	ENSG00000169218.9	ENSG00000169218	6
NUMT_01.010	1	48998527	50489585	-1	AGBL4	ENSG00000186094.12	ENSG00000186094	6
NUMT_01.011	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.012	1	77333126	77531396	1	ST6GALNAC5	ENSG00000117069.10	ENSG00000117069	5
NUMT_01.013	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.014	1	94386824	94387223	-1	CHCHD2P5	ENSG00000223490.2	ENSG00000223490	1
NUMT_01.015	1	94388130	94389501	-1	MTND4P11	ENSG00000234099.1	ENSG00000234099	1
NUMT_01.016	1	94390299	94390941	-1	NA	ENSG00000232752.1	ENSG00000232752	1
NUMT_01.016	1	94390962	94391628	-1	NA	ENSG00000229842.2	ENSG00000229842	1
NUMT_01.017	1	94391588	94391744	-1	NA	ENSG00000250890.1	ENSG00000250890	1
NUMT_01.017	1	94392171	94393125	-1	NA	ENSG00000236689.1	ENSG00000236689	1
NUMT_01.018	1	94392171	94393125	-1	NA	ENSG00000236689.1	ENSG00000236689	1
NUMT_01.018	1	94393270	94393858	-1	NA	ENSG00000226960.1	ENSG00000226960	1
NUMT_01.019	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.020	1	94400035	94400800	-1	NA	ENSG00000233129.1	ENSG00000233129	1
NUMT_01.021	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.022	1	104159999	104168402	1	AMY2A	ENSG00000243480.3	ENSG00000243480	3
NUMT_01.023	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.024	1	113933371	114228545	1	MAGI3	ENSG00000081026.14	ENSG00000081026	6
NUMT_01.025	1	142791488	142792556	1	NA	ENSG00000230255.1	ENSG00000230255	1
NUMT_01.026	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.027	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.028	1	143243809	143244859	-1	NA	ENSG00000231289.1	ENSG00000231289	1
NUMT_01.029	1	143245164	143245590	1	NA	ENSG00000229420.1	ENSG00000229420	1
NUMT_01.029	1	143245823	143246210	1	NA	ENSG00000234654.1	ENSG00000234654	1
NUMT_01.030	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.031	1	143343559	143344609	1	NA	ENSG00000232571.1	ENSG00000232571	1
NUMT_01.032	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.033	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.034	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.035	1	169433147	169455241	-1	SLC19A2	ENSG00000117479.8	ENSG00000117479	2
NUMT_01.036	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.037	1	181382238	181777219	1	CACNA1E	ENSG00000198216.6	ENSG00000198216	9
NUMT_01.038	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.039	1	191844625	191980390	1	NA	ENSG00000228215.2	ENSG00000228215	1
NUMT_01.040	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.041	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.042	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.043	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.044	1	227085237	227175246	1	ADCK3	ENSG00000163050.12	ENSG00000163050	12
NUMT_01.045	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.046	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.047	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.048	1	238111317	238112443	-1	NA	ENSG00000232154.2	ENSG00000232154	1
NUMT_01.049	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_01.050	1	240652873	240775449	-1	GREM2	ENSG00000180875.4	ENSG00000180875	1
NUMT_01.050	1	240713167	240713678	-1	NA	ENSG00000226014.1	ENSG00000226014	1
NUMT_01.051	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.001	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.002	2	11319887	11488456	-1	ROCK2	ENSG00000134318.9	ENSG00000134318	8
NUMT_02.003	2	15307032	15701454	-1	NBAS	ENSG00000151779.8	ENSG00000151779	10
NUMT_02.004	2	22156208	22753977	-1	NA	ENSG00000231200.1	ENSG00000231200	1
NUMT_02.005	2	33931953	34522820	1	NA	ENSG00000203386.2	ENSG00000203386	2
NUMT_02.006	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.007	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.008	2	50145643	51259674	-1	NRXN1	ENSG00000179915.16	ENSG00000179915	17
NUMT_02.009	2	56374765	56613306	1	NA	ENSG00000271894.1	ENSG00000271894	1
NUMT_02.009	2	56411258	56613308	1	CCDC85A	ENSG00000055813.5	ENSG00000055813	1
NUMT_02.010	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.011	2	63348518	64054977	-1	WDPCP	ENSG00000143951.11	ENSG00000143951	17
NUMT_02.012	2	68358370	68488362	-1	NA	ENSG00000273398.1	ENSG00000273398	1
NUMT_02.013	2	75273590	75426826	-1	TACR1	ENSG00000115353.6	ENSG00000115353	3
NUMT_02.014	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.015	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.016	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.017	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.018	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.019	2	88055474	88285309	-1	RGPD2	ENSG00000185304.12	ENSG00000185304	4
NUMT_02.020	2	92194706	92195147	-1	NA	ENSG00000235147.1	ENSG00000235147	1
NUMT_02.021	2	95533231	95613086	-1	NA	ENSG00000259848.4	ENSG00000259848	4
NUMT_02.021	2	95565311	95566406	-1	NA	ENSG00000237055.1	ENSG00000237055	1
NUMT_02.022	2	95533231	95613086	-1	NA	ENSG00000259848.4	ENSG00000259848	4
NUMT_02.022	2	95566735	95567347	1	NA	ENSG00000232128.1	ENSG00000232128	1
NUMT_02.023	2	95533231	95613086	-1	NA	ENSG00000259848.4	ENSG00000259848	4
NUMT_02.024	2	97308474	97370624	1	FER1L5	ENSG00000249715.5	ENSG00000249715	6
NUMT_02.025	2	103089762	103150431	1	SLC9A4	ENSG00000180251.4	ENSG00000180251	2
NUMT_02.026	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.027	2	109510927	109605828	-1	EDAR	ENSG00000135960.5	ENSG00000135960	3
NUMT_02.028	2	115199876	116603328	1	DPP10	ENSG00000175497.12	ENSG00000175497	13
NUMT_02.029	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.030	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.031	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.032	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.033	2	120932461	120974120	-1	NA	ENSG00000224789.1	ENSG00000224789	1
NUMT_02.033	2	120969303	120970438	1	NA	ENSG00000227788.1	ENSG00000227788	1
NUMT_02.033	2	120970511	120970851	1	MTND3P10	ENSG00000233286.1	ENSG00000233286	1
NUMT_02.034	2	120932461	120974120	-1	NA	ENSG00000224789.1	ENSG00000224789	1
NUMT_02.034	2	120972757	120974855	1	MTND5P28	ENSG00000223549.1	ENSG00000223549	1
NUMT_02.035	2	120932461	120974120	-1	NA	ENSG00000224789.1	ENSG00000224789	1
NUMT_02.035	2	120972757	120974855	1	MTND5P28	ENSG00000223549.1	ENSG00000223549	1
NUMT_02.036	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.037	2	124782864	125672864	1	CNTNAP5	ENSG00000155052.14	ENSG00000155052	3
NUMT_02.038	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.039	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.040	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.041	2	131028169	131029845	1	MTND1P29	ENSG00000237722.1	ENSG00000237722	1
NUMT_02.042	2	131028169	131029845	1	MTND1P29	ENSG00000237722.1	ENSG00000237722	1
NUMT_02.043	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.044	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.045	2	132137726	132138486	-1	NA	ENSG00000227661.1	ENSG00000227661	1
NUMT_02.046	2	132137726	132138486	-1	NA	ENSG00000227661.1	ENSG00000227661	1
NUMT_02.047	2	132140216	132141634	-1	NA	ENSG00000237910.1	ENSG00000237910	1
NUMT_02.047	2	132142034	132143063	-1	MTND2P18	ENSG00000234939.1	ENSG00000234939	1
NUMT_02.048	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.049	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.050	2	133174147	133404132	1	GPR39	ENSG00000183840.5	ENSG00000183840	2
NUMT_02.051	2	135213330	135476570	-1	TMEM163	ENSG00000152128.13	ENSG00000152128	3
NUMT_02.052	2	140975220	140977937	-1	MTND2P19	ENSG00000231567.1	ENSG00000231567	1
NUMT_02.053	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.054	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.055	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.056	2	143848931	144525921	1	ARHGAP15	ENSG00000075884.8	ENSG00000075884	14
NUMT_02.057	2	143848931	144525921	1	ARHGAP15	ENSG00000075884.8	ENSG00000075884	14
NUMT_02.057	2	143850625	143851733	-1	NA	ENSG00000224288.2	ENSG00000224288	1
NUMT_02.058	2	143848931	144525921	1	ARHGAP15	ENSG00000075884.8	ENSG00000075884	14
NUMT_02.058	2	143856467	143857502	-1	NA	ENSG00000225476.1	ENSG00000225476	1
NUMT_02.059	2	143848931	144525921	1	ARHGAP15	ENSG00000075884.8	ENSG00000075884	14
NUMT_02.060	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.061	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.062	2	149624039	149646351	-1	NA	ENSG00000231079.3	ENSG00000231079	4
NUMT_02.062	2	149632819	149883273	1	KIF5C	ENSG00000168280.12	ENSG00000168280	7
NUMT_02.063	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.064	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.065	2	167260083	167350757	-1	SCN7A	ENSG00000136546.9	ENSG00000136546	5
NUMT_02.066	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.067	2	180306709	180726232	-1	ZNF385B	ENSG00000144331.14	ENSG00000144331	13
NUMT_02.068	2	197059094	197458416	-1	HECW2	ENSG00000138411.6	ENSG00000138411	6
NUMT_02.069	2	202047604	202094129	1	CASP10	ENSG00000003400.10	ENSG00000003400	13
NUMT_02.070	2	202352148	202483901	-1	ALS2CR11	ENSG00000155754.10	ENSG00000155754	5
NUMT_02.071	2	202352148	202483901	-1	ALS2CR11	ENSG00000155754.10	ENSG00000155754	5
NUMT_02.071	2	202419107	202420774	1	MTND4P29	ENSG00000249177.1	ENSG00000249177	1
NUMT_02.072	2	202352148	202483901	-1	ALS2CR11	ENSG00000155754.10	ENSG00000155754	5
NUMT_02.072	2	202421615	202422988	1	MTND5P31	ENSG00000227841.1	ENSG00000227841	1
NUMT_02.073	2	202352148	202483901	-1	ALS2CR11	ENSG00000155754.10	ENSG00000155754	5
NUMT_02.073	2	202421615	202422988	1	MTND5P31	ENSG00000227841.1	ENSG00000227841	1
NUMT_02.074	2	203482706	203483604	1	MTND4P30	ENSG00000227454.2	ENSG00000227454	1
NUMT_02.074	2	203483908	203484619	-1	NA	ENSG00000233311.1	ENSG00000233311	1
NUMT_02.075	2	203483908	203484619	-1	NA	ENSG00000233311.1	ENSG00000233311	1
NUMT_02.076	2	203483908	203484619	-1	NA	ENSG00000233311.1	ENSG00000233311	1
NUMT_02.077	2	203483908	203484619	-1	NA	ENSG00000233311.1	ENSG00000233311	1
NUMT_02.078	NA	NA	NA	NA	NA	NA	NA	NA
NUMT_02.079	2	212240446	213403565	-1	ERBB4	ENSG00000178568.9	ENSG00000178568	9
NUMT_02.080	2	212240446	213403565	-1	ERBB4	ENSG00000178568.9	ENSG00000178568	9
NUMT_02.080	2	212641931	212642581	1	MTND2P23	ENSG00000232631.1	ENSG00000232631	1
NUMT_02.081	2	212240446	213403565	-1	ERBB4	ENSG00000178568.9	ENSG00000178568	9
NUMT_02.082	2	216476286	216708445	-1	LINC00607	ENSG00000235770.1	ENSG00000235770	6
NUMT_02.083	2	217559187	217858802	1	NA	ENSG00000236886.2	ENSG00000236886	2
NUMT_02.084	2	218148742	218621316	-1	DIRC3	ENSG00000231672.2	ENSG00000231672	4
